Rex,Label,Density,Grams,Cost,Formula Number
"LB","LAMP BLACK",1.0665069,131.39999,0,"2251"
"PB","PTHALO BLUE",1.0041941,6.9000001,0,"2251"
"BASE","WIPE STAIN",0.82444578,3027.5,0,"2253"
"YO","YELLOW OXIDE",1.605752,66.199997,0,"2253"
"TW","TITANIUMN WHITE",1.8813661,7.9000001,0,"2253"
"DYE","BLACK",1.0305573,53.900002,0,"2253"
"PG","PTHALO GREEN",1.052127,15.9,0,"2253"
"SEALER","TONER",0.97303772,3484.3999,0,"2254"
"BU","BURNT UMBER",1.483523,2.5999999,0,"2254"
"RU","RAW UMBER",1.3876573,6.1999998,0,"2254"
"YO","YELLOW OXIDE",1.605752,5.1999998,0,"2254"
"TW","TITANIUMN WHITE",1.8813661,361.39999,0,"2254"
"LB","LAMP BLACK",1.0665069,2.5999999,0,"2254"
"SEALER","TONER",0.97303772,3468.7,0,"2255"
"BU","BURNT UMBER",1.483523,9.1000004,0,"2255"
"RU","RAW UMBER",1.3876573,4.0999999,0,"2255"
"YO","YELLOW OXIDE",1.605752,1.7,0,"2255"
"TW","TITANIUMN WHITE",1.8813661,392.29999,0,"2255"
"LB","LAMP BLACK",1.0665069,1.7,0,"2255"
"RU","RAW UMBER",1.3876573,5.8000002,0,"2258"
"TW","TITANIUMN WHITE",1.8813661,255.10001,0,"2258"
"LB","LAMP BLACK",1.0665069,2.3,0,"2258"
"BASE","SPRAY STAIN",0.81485921,2968.6001,0,"2258"
"SEALER","TONER",0.97303772,3618.6001,0,"2260"
"TW","TITANIUM WHITE",1.8813661,40.299999,0,"2260"
"LB","LAMP BLACK",1.0665069,15.1,0,"2260"
"QR","QUIN RED",0.99460757,6.3000002,0,"2260"
"YO","YELLOW OXIDE",1.605752,12,0,"2260"
"BU","BURNT UMBER",1.483523,2.5,0,"2260"
"PB","PTHALO BLUE",1.0041941,15.1,0,"2260"
"BASE","GLAZE",0.88436192,3186.8999,0,"2261"
"TW","TITANIUM WHITE ",1.8813661,274.10001,0,"2261"
"LB","LAMP BLACK",1.0665069,25.5,0,"2261"
"YO","YELLOW OXIDE",1.605752,19.1,0,"2261"
"SEALER","TONER",0.97303772,3481.2,0,"2263"
"TW","TITANIUM WHITE ",1.8813661,387.60001,0,"2263"
"LB","LAMP BLACK",1.0665069,0.5,0,"2263"
"BU ","BURNT UMBER",1.483523,0.89999998,0,"2263"
"OY","ORGANIC YELLOW",1.0784901,0.5,0,"2263"
"BASE","GLAZE",0.88436192,2980.6001,0,"2265"
"TW","TITANIUM WHITE ",1.8813661,65.599998,0,"2265"
"LB","LAMP BLACK",1.0665069,120.3,0,"2265"
"RU","RAW UMBER",1.3876573,232.39999,0,"2265"
"BU ","BURNT UMBER",1.483523,147.7,0,"2265"
"BASE","WIPE STAIN",0.82444578,2882.8,0,"2266"
"LB","LAMP BLACK",1.0665069,78.199997,0,"2266"
"YO","YELLOW OXIDE",1.605752,91.199997,0,"2266"
"RU","RAW UMBER",1.3876573,41.700001,0,"2266"
"BU ","BURNT UMBER",1.483523,190.2,0,"2266"
"QR","QUIN RED",0.99460757,28.299999,0,"2267"
"BASE","WIPE STAIN",0.82444578,2937.1001,0,"2268"
"LB","LAMP BLACK",1.0665069,9.8000002,0,"2268"
"RU","RAW UMBER",1.3876573,176.2,0,"2268"
"BU ","BURNT UMBER",1.483523,127.3,0,"2268"
"BASE","WIPE STAIN",0.82444578,2960.8,0,"2270"
"LB","LAMP BLACK",1.0665069,20.4,0,"2270"
"BU ","BURNT UMBER",1.483523,233,0,"2270"
"RO","RED OXIDE",1.7974836,31.5,0,"2270"
"BASE","WIPE STAIN",0.82444578,2716,0,"2271"
"TW","TITANIUM WHITE ",1.8813661,284.20001,0,"2271"
"QR","QUIN RED",0.99460757,6.3000002,0,"2271"
"YO","YELLOW OXIDE",1.605752,50.5,0,"2271"
"RU","RAW UMBER",1.3876573,252.7,0,"2271"
"BU ","BURNT UMBER",1.483523,176.89999,0,"2271"
"BASE","GLAZE",0.88436192,2884.5,0,"2272"
"TW","TITANIUM WHITE ",1.8813661,93.699997,0,"2272"
"RU","RAW UMBER",1.3876573,274,0,"2272"
"BU ","BURNT UMBER",1.483523,360.60001,0,"2272"
"RO","RED OXIDE",1.7974836,59.099998,0,"2272"
"LB","LAMP BLACK",1.0665069,36,0,"2273"
"BASE","GLAZE",0.88436192,2959.1001,0,"2274"
"BU","BURNT UMBER",1.483523,104.4,0,"2274"
"RU","RAW UMBER",1.3876573,382.89999,0,"2274"
"TW","TITANIUMN WHITE",1.8813661,174.10001,0,"2274"
"BASE","WIPE STAIN",0.82444578,2889.2,0,"2275"
"RU","RAW UMBER",1.3876573,265.60001,0,"2275"
"YO","YELLOW OXIDE",1.605752,18.299999,0,"2275"
"TW","TITANIUMN WHITE",1.8813661,68.699997,0,"2275"
"QR","QUIN RED",0.99460757,32.099998,0,"2275"
"DYE","GOLDEN BROWN",1.0305573,4.5999999,0,"2275"
"DYE","RED BROWN",1.0305573,4.5999999,0,"2275"
"SEALER","TONER",0.97303772,3441.8,0,"2277"
"BU","BURNT UMBER",1.483523,28.299999,0,"2277"
"YO","YELLOW OXIDE",1.605752,61.700001,0,"2277"
"TW","TITANIUMN WHITE",1.8813661,238.5,0,"2277"
"QR","QUIN RED",0.99460757,13.3,0,"2277"
"LB","LAMP BLACK",1.0665069,53.299999,0,"2277"
"BASE","WIPE STAIN",0.82444578,2800.3999,0,"2278"
"BU","BURNT UMBER",1.483523,156.7,0,"2278"
"RU","RAW UMBER",1.3876573,271.70001,0,"2278"
"TW","TITANIUMN WHITE",1.8813661,104.5,0,"2278"
"QR","QUIN RED",0.99460757,31.299999,0,"2278"
"BASE","GLAZE",0.88436192,2855.8,0,"2279"
"BU","BURNT UMBER",1.483523,26.700001,0,"2279"
"RU","RAW UMBER",1.3876573,672.59998,0,"2279"
"YO","YELLOW OXIDE",1.605752,85.400002,0,"2279"
"BASE","SPRAY STAIN",0.81485921,3075.7,0,"2281"
"DYE","DARK BROWN",1.0305573,6.1999998,0,"2281"
"DYE","YELLOW",1.0305573,4.5999999,0,"2281"
"BASE","SPRAY STAIN",0.81485921,2981,0,"2283"
"BU","BURNT UMBER",1.483523,103,0,"2283"
"LB","LAMP BLACK",1.0665069,33.900002,0,"2283"
"QR","QUIN RED",0.99460757,17.6,0,"2283"
"DYE","RED BROWN ",1.0305573,8.1000004,0,"2283"
"SEALER","TONER",0.97303772,3511,0,"2288"
"YO","YELLOW OXIDE",1.605752,46.799999,0,"2288"
"TW","TITANIUMN WHITE",1.8813661,93.599998,0,"2288"
"UO","UNLEADEDORANGE",1.9868184,30.4,0,"2288"
"MY","MEDIUM YELLOW",1.0784901,88.900002,0,"2288"
"BU","BURNT UMBER",1.483523,155.39999,0,"2294"
"RU","RAW UMBER",1.3876573,512.70001,0,"2294"
"QR","QUIN RED",0.99460757,46.599998,0,"2294"
"LB","LAMP BLACK",1.0665069,108.8,0,"2294"
"BASE","WIPE STAIN",0.82444578,2753.3999,0,"2295"
"RU","RAW UMBER",1.3876573,107.1,0,"2295"
"TW","TITANIUMN WHITE",1.8813661,75,0,"2295"
"OY","ORGANIC YELLOW",1.0784901,107.1,0,"2295"
"UO","UNLEADED ORANGE",1.9868184,21.4,0,"2295"
"RO","RED OXIDE",1.7974836,53.599998,0,"2295"
"MY","MEDIUM YELLOW",1.0784901,203.60001,0,"2295"
"BASE","WIPE STAIN",0.82444578,3045.8,0,"2298"
"RU","RAW UMBER",1.3876573,40.799999,0,"2298"
"YO","YELLOW OXIDE",1.605752,3.0999999,0,"2298"
"QR","QUIN RED",0.99460757,6.3000002,0,"2298"
"SEALER","TONNER",0.97303772,3472.8999,0,"2407"
"RU","RAW UMBER",1.3876573,29.200001,0,"2407"
"YO","YELLOW OXIDE",1.605752,38.200001,0,"2407"
"TW","TITANIUMN WHITE",1.8813661,284.79999,0,"2407"
"LB","LAMP BLACK",1.0665069,3.5,0,"2407"
"YO","YELLOW OXIDE",1.605752,24.700001,0,"2726"
"OY","ORGANIC YELLOW",1.0784901,236.3,0,"2726"
"SEALER","TONNER ",0.97303772,3481.5,0,"2727"
"TW","TITANIUM WHITE",1.8813661,331.60001,0,"2727"
"LB","LAMP BLACK",1.0665069,1.7,0,"2727"
"YO","YELLOW OXIDE",1.605752,14.9,0,"2727"
"PRIMER","24 WHITE",1.1312163,4272.6001,0,"2296"
"BU","BURNT UMBER",1.483523,3.3,0,"2296"
"RU","RAW UMBER",1.3876573,0.69999999,0,"2296"
"YO","YELLOW OXIDE",1.605752,4.5999999,0,"2296"
"MY","MEDIUM YELLOW",1.0784901,2.5999999,0,"2296"
"SEALER","TONER",0.97303772,3491.8999,0,"2297"
"BU","BURNT UMBER",1.483523,25.1,0,"2297"
"RU","RAW UMBER",1.3876573,9.8000002,0,"2297"
"YO","YELLOW OXIDE",1.605752,14,0,"2297"
"TW","TITANIUMN WHITE",1.8813661,280.70001,0,"2297"
"LB","LAMP BLACK",1.0665069,15.4,0,"2297"
"LB","LAMP BLACK",1.0665069,56.5,0,"2298"
"SEALER","TONER",0.97303772,3484.3,0,"2299"
"RU","RAW UMBER",1.3876573,0.2,0,"2299"
"YO","YELLOW OXIDE",1.605752,0.30000001,0,"2299"
"TW","TITANIUMN WHITE",1.8813661,383.29999,0,"2299"
"SEALER","TONER",0.97303772,3472.3,0,"2302"
"BU","BURNT UMBER",1.483523,7.3000002,0,"2302"
"YO","YELLOW OXIDE",1.605752,7.3000002,0,"2302"
"TW","TITANIUMN WHITE",1.8813661,372.29999,0,"2302"
"QR","QUIN RED",0.99460757,1.9,0,"2302"
"LB","LAMP BLACK",1.0665069,7.3000002,0,"2302"
"BASE","WIPE STAIN",0.82444578,2641.1001,0,"2303"
"BU","BURNT UMBER",1.483523,264.10001,0,"2303"
"LB","LAMP BLACK",1.0665069,264.10001,0,"2303"
"QR","QUIN RED",0.99460757,88,0,"2303"
"RU","RAW UMBER",1.3876573,52.799999,0,"2303"
"RO","RED OXIDE",1.7974836,52.799999,0,"2303"
"BASE","WIPE STAIN",0.82444578,2698.8,0,"2304"
"LB","LAMP BLACK",1.0665069,81,0,"2304"
"QR","QUIN RED",0.99460757,54,0,"2304"
"RO","RED OXIDE",1.7974836,449.79999,0,"2304"
"DYE","RED BROWN",1.0305573,134.89999,0,"2304"
"BASE","WIPE STAIN",0.82444578,2676,0,"2305"
"YO","YELLOW OXIDE",1.605752,37.5,0,"2305"
"LB","LAMP BLACK",1.0665069,32.099998,0,"2305"
"QR","QUIN RED",0.99460757,5.4000001,0,"2305"
"DYE","RED BROWN",1.0305573,93.699997,0,"2305"
"DYE","DARK BROWN ",1.0305573,401.39999,0,"2305"
"BASE","WIPE STAIN",0.82444578,3029.3999,0,"2306"
"YO","YELLOW OXIDE",1.605752,60.599998,0,"2306"
