Rex,Label,Density,Grams,Cost,Formula Number
"BASE","WIPE STAIN",0.76452965,2590.8,0,"2349"
"BU","BURNT UMBER",1.483523,217.5,0,"2349"
"LB","LAMP BLACK",1.0665069,115.1,0,"2349"
"QR","QUIN RED",0.99460757,140.7,0,"2349"
"BASE","WIPE STAIN",0.77171957,2649.8,0,"2351"
"BU","BURNT UMBER",1.483523,39.5,0,"2351"
"RU","RAW UMBER",1.3876573,171.39999,0,"2351"
"YO","YELLOW OXIDE",1.605752,16.6,0,"2351"
"TW","TITANIUMN WHITE",1.8813661,270.10001,0,"2351"
"QR","QUIN RED",0.99460757,23.9,0,"2351"
"LB","LAMP BLACK",1.0665069,24.9,0,"2351"
"SEALER","TONER",0.97303772,3478.3999,0,"2353"
"BU","BURNT UMBER",1.483523,10.4,0,"2353"
"RU","RAW UMBER",1.3876573,9.3000002,0,"2353"
"YO","YELLOW OXIDE",1.605752,30.1,0,"2353"
"TW","TITANIUMN WHITE",1.8813661,278.29999,0,"2353"
